label,none,SERRF,none,SERRF
PC (40:4) [M+HCOO]- ,0.230297329,0.065124149,0.235160478,0.033259855
PC (40:5) [M+HCOO]- ,0.246876485,0.030157568,0.282555998,0.109422903
PC (40:6) [M+HCOO]- ,0.231409307,0.037884427,0.226847134,0.086120389
PC (40:8) [M+HCOO]-,0.234443796,0.093326242,0.220954581,0.048925884
PC (42:4) [M+HCOO]-,0.335558165,0.101092586,0.38381351,0.109316422
PE (34:1) [M-H]-,0.206593658,0.084245216,0.214536585,0.061071651
PE (34:2) [M-H]-,0.176604704,0.052497579,0.218831222,0.047520749
PE (36:1) [M-H]-,0.286998808,0.044718025,0.253207358,0.078152094
PE (36:2) A [M-H]-,0.26644752,0.035110489,0.291994833,0.058832344
PE (36:2) B [M-H]-,0.208024556,0.049632708,0.171645952,0.057311028
PE (36:3) [M-H]-,0.217652975,0.060183634,0.24535005,0.099233154
PE (36:4) [M-H]-,0.207914843,0.057825692,0.205404916,0.097349221
PE (38:2) [M-H]-,0.23224103,0.035490311,0.225243603,0.06713389
PE (38:4) A [M-H]-,0.261640922,0.050646643,0.168050434,0.08784584
PE (38:4) B [M-H]-,0.128902886,0.027207501,0.140932127,0.057923477
PE (38:6) [M-H]-,0.200557283,0.051613161,0.146293363,0.075302582
PE (40:6) [M-H]-,0.280204432,0.094367103,0.289306771,0.091207436
PE (44:3) [M-H]-,0.268722307,0.087954334,0.299595501,0.03735721
PI (32:1) [M-H]-,0.271172055,0.121279595,0.165613802,0.103550028
PI (34:1) [M-H]- ,0.254977734,0.070006656,0.272313552,0.088570738
PI (34:2) [M-H]- ,0.202148552,0.043786515,0.149248708,0.074720551
PI (36:1) [M-H]- ,0.214865551,0.061795637,0.264703226,0.088058625
PI (36:2) [M-H]- ,0.237333401,0.03628084,0.227115957,0.069442283
PI (36:3) [M-H]- ,0.230808889,0.076625308,0.273326402,0.107905666
PI (36:4) [M-H]-,0.204942184,0.051799487,0.150514328,0.077481034
PI (38:3) [M-H]-,0.220791663,0.043577523,0.14558225,0.086092084
PI (38:4) [M-H]- ,0.260497167,0.036360054,0.300259128,0.075317998
PI (38:5) [M-H]-,0.248959378,0.093754967,0.285294397,0.106635035
PI (40:6) [M-H]-,0.241577019,0.075972275,0.247709178,0.078979843
plasmenyl-PC (32:0) [M+HCOO]-,0.241761184,0.03858973,0.247637073,0.055412579
plasmenyl-PC (34:0) [M+HCOO]- ,0.249399913,0.050051114,0.233005988,0.020258215
plasmenyl-PC (34:1) [M+HCOO]- ,0.249701392,0.048337514,0.258500697,0.014787937
plasmenyl-PC (34:2) [M+HCOO]- ,0.239706013,0.045948071,0.257627358,0.027498867
